child,testlanguage,age,narrative,complete,mode,test_lang_status,ling
ch2238or4,hrv,107,nar_1,0,telling,L1,Monolingual
ch2238or4,hrv,107,nar_2,0,telling,L1,Monolingual
ch2238or4,hrv,107,nar_3,0,telling,L1,Monolingual
ch2239or4,hrv,96,nar_1,0,telling,L1,Monolingual
ch2239or4,hrv,96,nar_2,1,telling,L1,Monolingual
ch2239or4,hrv,96,nar_3,1,telling,L1,Monolingual
ch2240or4,hrv,100,nar_1,0,telling,L1,Monolingual
ch2240or4,hrv,100,nar_2,0,telling,L1,Monolingual
ch2240or4,hrv,100,nar_3,0,telling,L1,Monolingual
ch2241or4,hrv,101,nar_1,1,telling,L1,Monolingual
ch2241or4,hrv,101,nar_2,0,telling,L1,Monolingual
ch2241or4,hrv,101,nar_3,0,telling,L1,Monolingual
ch2242or4,hrv,96,nar_1,0,telling,L1,Monolingual
ch2242or4,hrv,96,nar_2,0,telling,L1,Monolingual
ch2242or4,hrv,96,nar_3,0,telling,L1,Monolingual
ch2243or4,hrv,96,nar_1,0,telling,L1,Monolingual
ch2243or4,hrv,96,nar_2,0,telling,L1,Monolingual
ch2243or4,hrv,96,nar_3,0,telling,L1,Monolingual
ch2244or4,hrv,96,nar_1,0,telling,L1,Monolingual
ch2244or4,hrv,96,nar_2,0,telling,L1,Monolingual
ch2244or4,hrv,96,nar_3,0,telling,L1,Monolingual
ch2245or4,hrv,96,nar_1,0,telling,L1,Monolingual
ch2245or4,hrv,96,nar_2,0,telling,L1,Monolingual
ch2245or4,hrv,96,nar_3,0,telling,L1,Monolingual
ch2246or4,hrv,98,nar_1,0,telling,L1,Monolingual
ch2246or4,hrv,98,nar_2,0,telling,L1,Monolingual
ch2246or4,hrv,98,nar_3,0,telling,L1,Monolingual
ch2247or4,hrv,99,nar_1,0,telling,L1,Monolingual
ch2247or4,hrv,99,nar_2,1,telling,L1,Monolingual
ch2247or4,hrv,99,nar_3,0,telling,L1,Monolingual
ch2248or4,hrv,98,nar_1,0,telling,L1,Monolingual
ch2248or4,hrv,98,nar_2,0,telling,L1,Monolingual
ch2248or4,hrv,98,nar_3,1,telling,L1,Monolingual
ch2249or4,hrv,96,nar_1,0,telling,L1,Monolingual
ch2249or4,hrv,96,nar_2,0,telling,L1,Monolingual
ch2249or4,hrv,96,nar_3,0,telling,L1,Monolingual
ch2250or4,hrv,103,nar_1,1,telling,L1,Monolingual
ch2250or4,hrv,103,nar_2,0,telling,L1,Monolingual
ch2250or4,hrv,103,nar_3,1,telling,L1,Monolingual
ch2251or4,hrv,101,nar_1,0,telling,L1,Monolingual
ch2251or4,hrv,101,nar_2,1,telling,L1,Monolingual
ch2251or4,hrv,101,nar_3,0,telling,L1,Monolingual
ch2252or4,hrv,107,nar_1,0,telling,L1,Monolingual
ch2252or4,hrv,107,nar_2,0,telling,L1,Monolingual
ch2252or4,hrv,107,nar_3,1,telling,L1,Monolingual
ch2253or4,hrv,105,nar_1,0,telling,L1,Monolingual
ch2253or4,hrv,105,nar_2,0,telling,L1,Monolingual
ch2253or4,hrv,105,nar_3,0,telling,L1,Monolingual
ch2254or4,hrv,104,nar_1,0,telling,L1,Monolingual
ch2254or4,hrv,104,nar_2,0,telling,L1,Monolingual
ch2254or4,hrv,104,nar_3,0,telling,L1,Monolingual
ch2255or4,hrv,99,nar_1,1,telling,L1,Monolingual
ch2255or4,hrv,99,nar_2,1,telling,L1,Monolingual
ch2255or4,hrv,99,nar_3,0,telling,L1,Monolingual
ch2256or4,hrv,98,nar_1,0,telling,L1,Monolingual
ch2256or4,hrv,98,nar_2,1,telling,L1,Monolingual
ch2256or4,hrv,98,nar_3,1,telling,L1,Monolingual
ch2257or4,hrv,98,nar_1,0,telling,L1,Monolingual
ch2257or4,hrv,98,nar_2,1,telling,L1,Monolingual
ch2257or4,hrv,98,nar_3,1,telling,L1,Monolingual
ch2258or4,hrv,99,nar_1,0,telling,L1,Monolingual
ch2258or4,hrv,99,nar_2,1,telling,L1,Monolingual
ch2258or4,hrv,99,nar_3,1,telling,L1,Monolingual
ch2259or4,hrv,105,nar_1,0,telling,L1,Monolingual
ch2259or4,hrv,105,nar_2,0,telling,L1,Monolingual
ch2259or4,hrv,105,nar_3,1,telling,L1,Monolingual
ch2260or4,hrv,96,nar_1,0,telling,L1,Monolingual
ch2260or4,hrv,96,nar_2,0,telling,L1,Monolingual
